Filename,Blinding of intervention,Blinding of Outcome assessment,Classes
00069-09.txt,Q,P,QP
00069-10.txt,Q,P,QP
00069-12.txt,Q,P,QP
00069-13.txt,Q,P,QP
00069-15.txt,P,Q,PQ
00069-16.txt,Q,Q,QQ
00069-17.txt,Q,Q,QQ
00069-18.txt,Q,Q,QQ
00069-19.txt,Q,Q,QQ
00069-20.txt,Q,Q,QQ
00069-21.txt,Q,Q,QQ
00069-22.txt,Q,P,QP
00069-23.txt,Q,Q,QQ
00069-25.txt,Q,P,QP
00069-27.txt,Q,Q,QQ
00069-28.txt,Q,P,QP
00069-29.txt,Q,P,QP
00078-01.txt,P,P,PP
00078-02.txt,P,P,PP
00078-03.txt,Q,Q,QQ
00078-04.txt,P,P,PP
00078-05.txt,Q,Q,QQ
00078-07.txt,P,P,PP
00078-08.txt,Q,Q,QQ
00078-09.txt,Q,Q,QQ
00078-10.txt,P,P,PP
00078-11.txt,P,P,PP
00078-12.txt,P,P,PP
00078-13.txt,P,P,PP
00078-14.txt,P,P,PP
00078-15.txt,P,P,PP
00078-16.txt,P,P,PP
00078-17.txt,P,P,PP
00081-01.txt,N,N,NN
00081-02.txt,N,N,NN
00081-03.txt,N,N,NN
00081-04.txt,N,N,NN
00081-05.txt,N,N,NN
00081-06.txt,N,N,NN
00081-07.txt,N,N,NN
00081-08.txt,N,N,NN
00085-01.txt,P,P,PP
00085-02.txt,P,P,PP
00085-03.txt,P,P,PP
00085-04.txt,P,P,PP
00085-05.txt,P,P,PP
00085-06.txt,P,P,PP
00085-07.txt,P,P,PP
00085-10.txt,P,P,PP
00085-11.txt,P,P,PP
00085-12.txt,P,P,PP
00085-13.txt,P,P,PP
00085-14.txt,Q,Q,QQ
00085-15.txt,P,P,PP
00085-16.txt,Q,Q,QQ
00085-17.txt,P,P,PP
00085-18.txt,P,P,PP
00085-19.txt,Q,Q,QQ
00085-20.txt,P,P,PP
00085-24.txt,P,P,PP
00085-25.txt,P,P,PP
00085-26.txt,P,P,PP
00085-27.txt,P,P,PP
00085-28.txt,P,P,PP
00085-29.txt,P,P,PP
00085-30.txt,Q,Q,QQ
00085-31.txt,P,P,PP
00085-32.txt,P,P,PP
00085-33.txt,Q,Q,QQ
00085-34.txt,P,P,PP
00085-35.txt,P,P,PP
00085-36.txt,P,P,PP
00085-37.txt,P,P,PP
00086-01.txt,Q,Q,QQ
00086-02.txt,P,Q,PQ
00086-03.txt,Q,Q,QQ
00086-04.txt,Q,Q,QQ
00086-05.txt,N,N,NN
00089-01.txt,N,N,NN
00089-02.txt,P,P,PP
00089-03.txt,P,P,PP
00089-04.txt,P,P,PP
00089-05.txt,N,N,NN
00089-06.txt,P,P,PP
00089-07.txt,P,P,PP
00089-08.txt,N,N,NN
00089-09.txt,P,P,PP
00089-10.txt,P,P,PP
00089-11.txt,Q,Q,QQ
00089-12.txt,Q,Q,QQ
00089-13.txt,N,N,NN
00089-15.txt,Q,Q,QQ
00089-16.txt,Q,Q,QQ
00089-17.txt,P,P,PP
00089-18.txt,Q,Q,QQ
00089-19.txt,P,P,PP
00089-20.txt,P,P,PP
00089-21.txt,P,P,PP
00089-22.txt,N,N,NN
00089-23.txt,P,P,PP
00089-24.txt,Q,Q,QQ
00089-25.txt,P,P,PP
00089-26.txt,P,P,PP
00089-27.txt,P,P,PP
00090-01.txt,N,Q,NQ
00090-02.txt,N,Q,NQ
00090-03.txt,N,Q,NQ
00090-04.txt,N,Q,NQ
00090-05.txt,N,Q,NQ
00090-06.txt,N,Q,NQ
00090-07.txt,N,Q,NQ
00090-08.txt,N,P,NP
00090-09.txt,N,Q,NQ
00090-10.txt,N,Q,NQ
00090-11.txt,N,Q,NQ
00090-12.txt,N,Q,NQ
00090-13.txt,N,Q,NQ
00090-14.txt,N,Q,NQ
00090-15.txt,N,Q,NQ
00090-16.txt,N,Q,NQ
00090-17.txt,N,Q,NQ
00090-18.txt,N,Q,NQ
00090-19.txt,N,P,NP
00090-20.txt,N,Q,NQ
00090-21.txt,N,Q,NQ
00090-22.txt,N,Q,NQ
00097-01.txt,P,P,PP
00097-02.txt,P,P,PP
00097-04.txt,P,P,PP
00097-05.txt,Q,Q,QQ
00097-06.txt,P,P,PP
00097-07.txt,Q,Q,QQ
00097-08.txt,P,P,PP
00097-09.txt,Q,Q,QQ
00097-10.txt,P,P,PP
00097-11.txt,Q,Q,QQ
00097-12.txt,P,P,PP
00097-13.txt,Q,Q,QQ
00097-14.txt,Q,Q,QQ
00097-15.txt,P,P,PP
00097-16.txt,Q,Q,QQ
00097-18.txt,Q,Q,QQ
00097-19.txt,P,P,PP
00098-01.txt,P,P,PP
00098-02.txt,P,P,PP
00098-03.txt,P,P,PP
00098-04.txt,Q,Q,QQ
00098-06.txt,Q,Q,QQ
00098-07.txt,Q,Q,QQ
00098-08.txt,Q,Q,QQ
00098-09.txt,Q,Q,QQ
00098-10.txt,P,P,PP
00098-11.txt,Q,Q,QQ
00098-13.txt,Q,Q,QQ
00098-15.txt,P,P,PP
00098-16.txt,P,P,PP
00098-17.txt,Q,Q,QQ
00098-18.txt,Q,Q,QQ
00098-19.txt,P,P,PP
00098-20.txt,Q,Q,QQ
00098-21.txt,Q,Q,QQ
00098-22.txt,P,P,PP
00098-23.txt,P,P,PP
00098-24.txt,P,P,PP
00098-25.txt,P,P,PP
00098-26.txt,Q,Q,QQ
00098-28.txt,P,P,PP
00098-29.txt,P,P,PP
00098-30.txt,Q,Q,QQ
00098-31.txt,Q,Q,QQ
00098-32.txt,Q,Q,QQ
00098-33.txt,P,P,PP
00098-35.txt,Q,Q,QQ
00098-36.txt,P,P,PP
00098-37.txt,Q,Q,QQ
00099-01.txt,Q,Q,QQ
00099-02.txt,Q,Q,QQ
00099-04.txt,P,P,PP
00099-05.txt,Q,Q,QQ
00099-06.txt,N,N,NN
00099-07.txt,P,P,PP
00099-08.txt,P,P,PP
00099-09.txt,Q,Q,QQ
00099-10.txt,P,P,PP
00099-11.txt,P,P,PP
00099-12.txt,N,N,NN
00099-13.txt,P,P,PP
00099-14.txt,Q,Q,QQ
00099-16.txt,Q,Q,QQ
00099-17.txt,P,P,PP
00099-18.txt,Q,Q,QQ
00101-01.txt,Q,Q,QQ
00101-02.txt,P,P,PP
00101-03.txt,P,P,PP
00101-04.txt,Q,Q,QQ
00101-05.txt,P,P,PP
00101-06.txt,N,N,NN
00101-07.txt,P,P,PP
00101-09.txt,N,N,NN
00101-10.txt,N,N,NN
00101-11.txt,P,P,PP
00101-12.txt,P,P,PP
00101-13.txt,N,N,NN
00103-01.txt,N,P,NP
00103-02.txt,Q,P,QP
00103-04.txt,N,N,NN
00103-05.txt,Q,P,QP
00104-01.txt,N,P,NP
00104-02.txt,N,N,NN
00104-03.txt,N,N,NN
00104-04.txt,N,N,NN
00104-05.txt,N,P,NP
00104-06.txt,N,N,NN
00107-01.txt,Q,Q,QQ
00107-02.txt,P,P,PP
00107-03.txt,N,P,NP
00107-04.txt,P,P,PP
00107-05.txt,Q,Q,QQ
00107-06.txt,P,P,PP
00107-07.txt,P,P,PP
00107-08.txt,P,Q,PQ
00108-01.txt,N,Q,NQ
00108-02.txt,N,Q,NQ
00108-03.txt,N,Q,NQ
00108-04.txt,N,Q,NQ
00108-05.txt,N,Q,NQ
00108-06.txt,N,Q,NQ
00109-01.txt,Q,Q,QQ
00109-02.txt,Q,Q,QQ
00109-03.txt,P,P,PP
00121-01.txt,N,P,NP
00121-02.txt,N,P,NP
00121-03.txt,N,N,NN
00121-04.txt,Q,Q,QQ
00121-05.txt,N,Q,NQ
00121-06.txt,Q,Q,QQ
00121-07.txt,Q,Q,QQ
00121-08.txt,P,Q,PQ
00121-09.txt,P,P,PP
00121-10.txt,Q,Q,QQ
00121-11.txt,P,P,PP
00121-12.txt,N,P,NP
00122-01.txt,P,P,PP
00122-02.txt,P,P,PP
00122-03.txt,N,N,NN
00122-04.txt,P,P,PP
00122-05.txt,N,N,NN
00122-06.txt,P,P,PP
00125-01.txt,Q,Q,QQ
00125-02.txt,N,P,NP
00125-03.txt,N,N,NN
00125-05.txt,N,P,NP
00125-07.txt,Q,Q,QQ
00125-08.txt,Q,Q,QQ
00126-01.txt,P,P,PP
00126-02.txt,P,P,PP
00126-03.txt,N,N,NN
00126-04.txt,P,P,PP
00126-05.txt,N,N,NN
00126-06.txt,P,P,PP
00127-01.txt,N,N,NN
00127-03.txt,N,N,NN
00127-05.txt,Q,P,QP
00128-01.txt,Q,P,QP
00128-02.txt,Q,P,QP
00129-01.txt,N,Q,NQ
00129-02.txt,Q,Q,QQ
00129-03.txt,Q,Q,QQ
00129-04.txt,P,Q,PQ
00129-05.txt,P,Q,PQ
00129-06.txt,Q,Q,QQ
00129-07.txt,Q,P,QP
00129-08.txt,Q,Q,QQ
00129-11.txt,Q,Q,QQ
00129-12.txt,Q,Q,QQ
00129-13.txt,Q,Q,QQ
00129-14.txt,Q,Q,QQ
00129-15.txt,Q,Q,QQ
00129-16.txt,Q,Q,QQ
00129-17.txt,Q,Q,QQ
00129-18.txt,Q,Q,QQ
00129-19.txt,Q,N,QN
00129-21.txt,Q,Q,QQ
00129-23.txt,N,Q,NQ
00129-24.txt,P,Q,PQ
00129-26.txt,P,P,PP
00129-27.txt,Q,Q,QQ
00129-28.txt,Q,P,QP
00129-30.txt,Q,Q,QQ
00129-31.txt,Q,Q,QQ
00129-32.txt,Q,P,QP
00129-34.txt,Q,Q,QQ
00129-35.txt,N,P,NP
00129-36.txt,N,N,NN
00129-37.txt,P,Q,PQ
00129-38.txt,N,N,NN
00129-39.txt,Q,Q,QQ
00129-40.txt,N,Q,NQ
00129-41.txt,Q,Q,QQ
00129-42.txt,N,N,NN
00129-44.txt,Q,Q,QQ
00129-45.txt,Q,Q,QQ
00132-01.txt,P,P,PP
00132-02.txt,P,P,PP
00132-03.txt,N,N,NN
00132-04.txt,Q,Q,QQ
00132-05.txt,N,N,NN
00132-06.txt,P,P,PP
00132-07.txt,Q,Q,QQ
00132-08.txt,N,N,NN
00132-09.txt,Q,Q,QQ
00132-10.txt,Q,Q,QQ
00132-11.txt,Q,Q,QQ
00132-12.txt,Q,Q,QQ
00132-13.txt,P,P,PP
00132-14.txt,N,N,NN
00135-03.txt,N,P,NP
00135-08.txt,N,Q,NQ
00135-09.txt,P,P,PP
00135-11.txt,N,Q,NQ
00135-14.txt,N,Q,NQ
00135-21.txt,N,P,NP
00135-22.txt,P,P,PP
00135-24.txt,Q,Q,QQ
00136-01.txt,N,N,NN
00136-02.txt,N,N,NN
00136-03.txt,N,N,NN
00136-04.txt,N,N,NN
00136-05.txt,Q,Q,QQ
00136-07.txt,Q,Q,QQ
00147-01.txt,Q,Q,QQ
00147-02.txt,N,N,NN
00147-03.txt,Q,Q,QQ
00147-04.txt,N,N,NN
00147-05.txt,N,N,NN
00147-06.txt,Q,Q,QQ
00147-07.txt,Q,Q,QQ
00147-08.txt,Q,Q,QQ
00153-01.txt,Q,Q,QQ
00153-02.txt,Q,Q,QQ
00153-03.txt,N,N,NN
00153-04.txt,Q,Q,QQ
00153-05.txt,N,N,NN
00153-07.txt,Q,Q,QQ
00153-08.txt,Q,Q,QQ
00153-09.txt,Q,Q,QQ
00153-10.txt,Q,Q,QQ
00153-11.txt,P,P,PP
00153-12.txt,Q,Q,QQ
00153-13.txt,Q,Q,QQ
00153-14.txt,Q,Q,QQ
00153-15.txt,Q,Q,QQ
00168-01.txt,P,P,PP
00168-02.txt,Q,Q,QQ
00168-03.txt,Q,Q,QQ
00168-04.txt,P,P,PP
00168-05.txt,P,P,PP
00168-06.txt,N,N,NN
00168-07.txt,P,P,PP
00168-08.txt,P,P,PP
00168-09.txt,P,P,PP
00168-10.txt,P,P,PP
00168-102.txt,N,N,NN
00168-103.txt,P,P,PP
00168-11.txt,Q,Q,QQ
00168-12.txt,Q,Q,QQ
00168-13.txt,P,P,PP
00168-14.txt,P,P,PP
00168-15.txt,Q,Q,QQ
00168-16.txt,Q,Q,QQ
00168-17.txt,Q,Q,QQ
00168-18.txt,Q,Q,QQ
00168-19.txt,Q,Q,QQ
00168-20.txt,P,P,PP
00168-22.txt,Q,Q,QQ
00168-23.txt,Q,Q,QQ
00168-24.txt,P,P,PP
00168-25.txt,Q,Q,QQ
00168-26.txt,Q,Q,QQ
00168-27.txt,Q,Q,QQ
00168-28.txt,P,P,PP
00168-29.txt,Q,Q,QQ
00168-30.txt,P,P,PP
00168-31.txt,P,P,PP
00168-32.txt,P,P,PP
00168-33.txt,Q,Q,QQ
00168-34.txt,Q,Q,QQ
00168-35.txt,Q,Q,QQ
00168-36.txt,Q,Q,QQ
00168-37.txt,Q,Q,QQ
00168-39.txt,N,N,NN
00168-40.txt,Q,Q,QQ
00168-41.txt,Q,Q,QQ
00168-42.txt,Q,Q,QQ
00168-43.txt,Q,Q,QQ
00168-44.txt,Q,Q,QQ
00168-45.txt,Q,Q,QQ
00168-46.txt,Q,Q,QQ
00168-47.txt,Q,Q,QQ
00168-48.txt,Q,Q,QQ
00168-49.txt,Q,Q,QQ
00168-50.txt,Q,Q,QQ
00168-51.txt,Q,Q,QQ
00168-52.txt,Q,Q,QQ
00168-53.txt,Q,Q,QQ
00168-54.txt,Q,Q,QQ
00168-55.txt,Q,Q,QQ
00168-57.txt,Q,Q,QQ
00168-58.txt,Q,Q,QQ
00168-59.txt,Q,Q,QQ
00168-61.txt,Q,Q,QQ
00168-62.txt,Q,Q,QQ
00168-63.txt,Q,Q,QQ
00168-64.txt,Q,Q,QQ
00168-65.txt,Q,Q,QQ
00168-66.txt,Q,Q,QQ
00168-67.txt,Q,Q,QQ
00168-68.txt,Q,Q,QQ
00168-69.txt,Q,Q,QQ
00168-70.txt,Q,Q,QQ
00168-71.txt,P,P,PP
00168-72.txt,Q,Q,QQ
00170-01.txt,P,P,PP
00170-02.txt,P,P,PP
00170-03.txt,P,P,PP
00170-05.txt,Q,Q,QQ
00170-08.txt,Q,Q,QQ
00170-10.txt,Q,Q,QQ
00170-13.txt,Q,Q,QQ
00170-14.txt,Q,Q,QQ
00170-15.txt,Q,Q,QQ
00170-16.txt,Q,Q,QQ
00170-17.txt,Q,Q,QQ
00170-19.txt,Q,Q,QQ
00170-20.txt,Q,Q,QQ
00170-24.txt,N,N,NN
00170-26.txt,Q,Q,QQ
00170-27.txt,Q,Q,QQ
00170-29.txt,Q,Q,QQ
00171-04.txt,Q,Q,QQ
00171-05.txt,Q,Q,QQ
00171-06.txt,Q,Q,QQ
00171-08.txt,Q,Q,QQ
00171-11.txt,N,N,NN
00171-12.txt,Q,Q,QQ
00171-13.txt,Q,Q,QQ
00171-16.txt,Q,Q,QQ
00171-17.txt,Q,Q,QQ
00171-18.txt,Q,Q,QQ
00171-19.txt,Q,Q,QQ
00171-22.txt,Q,Q,QQ
00171-23.txt,P,P,PP
00171-24.txt,P,P,PP
00171-25.txt,Q,Q,QQ
00171-26.txt,Q,Q,QQ
00171-30.txt,Q,Q,QQ
00171-32.txt,Q,Q,QQ
00185-01.txt,P,P,PP
00185-02.txt,P,P,PP
00185-03.txt,P,P,PP
00185-04.txt,P,P,PP
00185-05.txt,P,P,PP
00185-06.txt,P,P,PP
00185-07.txt,Q,Q,QQ
00185-08.txt,P,P,PP
00185-09.txt,P,P,PP
00185-10.txt,N,N,NN
00185-11.txt,P,P,PP
00185-13.txt,P,P,PP
00185-14.txt,P,P,PP
00185-15.txt,P,P,PP
00185-16.txt,Q,Q,QQ
00185-17.txt,Q,Q,QQ
00185-18.txt,P,P,PP
00185-19.txt,Q,Q,QQ
00185-20.txt,Q,Q,QQ
00185-23.txt,P,P,PP
00185-24.txt,P,P,PP
00185-25.txt,P,P,PP
00185-26.txt,Q,Q,QQ
00185-28.txt,P,P,PP
00185-29.txt,P,P,PP
00185-30.txt,P,P,PP
00185-31.txt,P,P,PP
00185-32.txt,P,P,PP
00185-33.txt,P,P,PP
00185-34.txt,Q,Q,QQ
00185-36.txt,P,P,PP
00185-37.txt,Q,Q,QQ
00185-38.txt,Q,Q,QQ
00185-39.txt,Q,Q,QQ
00185-40.txt,Q,Q,QQ
00185-41.txt,P,P,PP
00185-42.txt,Q,Q,QQ
00185-43.txt,Q,Q,QQ
00185-44.txt,Q,Q,QQ
00185-45.txt,Q,Q,QQ
00185-47.txt,Q,Q,QQ
00185-48.txt,P,P,PP
00186-01.txt,N,N,NN
00186-02.txt,N,N,NN
00186-03.txt,Q,Q,QQ
00186-04.txt,Q,Q,QQ
00186-05.txt,Q,Q,QQ
00186-06.txt,P,P,PP
00186-08.txt,P,P,PP
00186-09.txt,Q,Q,QQ
00186-10.txt,N,N,NN
00186-11.txt,P,P,PP
00186-12.txt,P,P,PP
00186-13.txt,N,N,NN
00186-15.txt,P,P,PP
00186-16.txt,P,P,PP
00186-17.txt,Q,Q,QQ
00186-18.txt,N,N,NN
00186-19.txt,Q,Q,QQ
00186-20.txt,Q,Q,QQ
00186-21.txt,P,P,PP
00186-22.txt,Q,Q,QQ
00186-23.txt,P,P,PP
00186-24.txt,N,N,NN
00186-25.txt,P,P,PP
00186-26.txt,Q,Q,QQ
00186-27.txt,P,P,PP
00186-28.txt,N,N,NN
00186-29.txt,Q,Q,QQ
00186-30.txt,Q,Q,QQ
00186-31.txt,Q,Q,QQ
00186-32.txt,Q,Q,QQ
00193-01.txt,Q,Q,QQ
00455-01.txt,P,P,PP
00458-01.txt,Q,Q,QQ
00458-02.txt,P,P,PP
00458-03.txt,P,P,PP
00458-04.txt,P,P,PP
00458-05.txt,P,P,PP
00458-07.txt,P,P,PP
00458-08.txt,N,N,NN
00458-09.txt,N,N,NN
00458-10.txt,Q,Q,QQ
00458-11.txt,Q,Q,QQ
00458-12.txt,P,P,PP
00458-13.txt,Q,Q,QQ
00458-15.txt,P,P,PP
00458-16.txt,N,N,NN
00458-17.txt,N,N,NN
00458-18.txt,P,P,PP
00458-19.txt,P,P,PP
00458-20.txt,N,N,NN
00458-21.txt,P,P,PP
00458-22.txt,N,N,NN
00458-24.txt,N,N,NN
00458-25.txt,P,P,PP
